[0113/163254.246:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0113/175822.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175827.219:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175905.715:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175910.732:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175915.741:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175918.962:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175918.984:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175920.748:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175923.970:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175923.996:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175925.757:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175953.040:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/175958.049:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180003.055:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180008.065:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180254.193:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180259.198:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180304.207:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180309.218:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180314.226:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180319.234:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180324.242:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180329.247:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180334.256:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180339.263:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180341.494:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0113/180344.286:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180349.297:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180354.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0113/180359.343:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
